text;label
Eu posso contar nos dedos quantas vezes precisei ir à uma agência para resolver algo. Com o App minha vida ficou muito mais prática.;__label__0
Não tenho reclamações, o app é muito bom! Vale a pena ter conta no BB por causa dele!;__label__0
Melhor app de banco que existe!;__label__0
Tem tudo que preciso e é bem fácil de usar.;__label__0
Excelente app;__label__0
Tudo que preciso funciona e muito bem. Recomendo;__label__0
A última atualização permite a utilização do Ourocard-e. Muito bom!;__label__0
Economiza muitas idas até a agência.;__label__0
Ótimo app;__label__0
I would give 100 stars if it is possible. This app makes all the transactions easy. Thanks for banco do Brasil.;__label__0
Good one;__label__0
Muito bom;__label__0
Funcionalidade muito boa. Poderia ser mais polido esteticamente.;__label__1
Very useful;__label__0
Este App facilita muito.;__label__0
Excelente app;__label__0
Muito boa a nova versão, parabéns.;__label__0
App prático e eficiente;__label__0
Good;__label__0
Sempre foi ruim, mas agora com esse erro do "Controller de Menu Iconico Servidor" é simplesmente impossível utilizar o app. Limpar os dados não é uma solução válida, já que isso requer a validação do BBCode no caixa eletrônico novamente (o que já é ridículo de início). Não tenho palavras pra expressar minha insatisfação com o serviço prestado por esse péssimo banco.;__label__2
Excelente;__label__0
Excelente aplicativo. Cada dia descubro mais funções e me surpreendo.;__label__0
Great;__label__0
Bom App, várias opções e muita comodidade. Recentemente apresentando erro ao tentar efetuar alguns pagamentos de boletos de outros bancos;__label__0
Medidas de segurança completas e boas opções de uso. Para quem souber usar, é uma ótima ferramenta.;__label__0
Rápido e prático!;__label__0
Ótima ferramenta para pagamentos, transferências e serviços em geral.;__label__0
Aplicativo muito bom, faço tudo por ele. Após alguns contatos com o suporte e algumas atualizações parece que o erro do sensor de digitais está OK agora. Realmente poderiam solicitar direto a digital/senha quando tiver somente uma conta cadastrada.;__label__2
Uso praticamente todos os dias. Excelente.;__label__0
Bom aplicativo. Lento algumas vezes, mas ok. Falta adicionar a função de compensar cheque online.;__label__1
Super útil e prático!;__label__0
Secure;__label__0
Resolve o meu problema;__label__0
ótimo app.;__label__0
Otimo aplicativo, simples utilização e seguro.;__label__0
Esse app está quente... Parabéns aos desenvolvedores e designers que fazem a poeira do BB levantar! Joga a mão pra cima!!;__label__0
Bom pracarai. Resolve a vida.;__label__0
Um aplicativo muito bom e fácil de usar.;__label__0
As novas versões do app corrigiram os erros das versões anteriores. Ficou muito bom e amigável.;__label__0
Ótimo app!;__label__0
Working fine on s8;__label__0
Adorei poder acessar meu banco através do celular. Não preciso ir mais no banco pra tirar extrato da conta. Esse aplicativo é uma maravilha. PER-FEI-TO.;__label__0
Resolve meus problemas com muita facilidade e eficiência.;__label__0
melhorou, muito mais didatico;__label__0
Melhor aplicativo para transações bancárias que conheço.;__label__0
Esse APP agilizou meu dia. Para ativa lo basta ir ateh sua agência e falar com um gerente de contas.... Depois eh soh alegria.;__label__0
De todos os bancos grandes, este é o app mais fácil de usar e com maior quantidade de transações financeiras para fazer. Vale a pena abrir uma conta e ter essa facilidade. Se puderem façam a conta com pacote de serviços rvicos essenciais ou a conta digital que vc não vai ter a preocupação de ver cobranças surpresas. Adicionem opção para login de não correntista e visualização de fatura de cartao de crédito!;__label__0
Prático e fácil de usar;__label__0
Gostei, ficou bem didatico;__label__0
Very useful app!;__label__0
muito bom e facil de utilizar.;__label__0
Tento acessar minha conta, mas aparece uma mensagem "aguarde, estamos \ncarregando informações" e depois disso consta "informações indisponíveis";__label__2
Visual, prático e útil. Excelente!;__label__0
bom.Obrigado;__label__0
Ótima visualização. Excelente para consultar os gastos.;__label__0
Ficou mais fácil de ver as informações;__label__0
Gostei do app, consigo acompanhar meu limite na hora da compra, sem precisar ligar ou ir no atendimento ao cliente =);__label__0
muito bom;__label__0
App super fácil e prático. Quem tem Cartão Carrefour não pode ficar sem este app.;__label__0
Mais prático, sem filas e sem perder tempo no telefone.;__label__0
amazing;__label__0
Ficou muito mais fácil olhar o limite do meu cartão!;__label__0
Boa app;__label__0
ótimo!;__label__0
Muito bom;__label__0
Prático.  Muito bom!! Seria interessante consultar andamento das solicitações realizadas por protocolo através do app;__label__1
Muito top esse app. Parabéns. Sugestão : Seria legal se tivesse uma opção pra pagar faturas de outros como água,  luz, etc. Como no app dos bancos que tem um leitor de código de barras.;__label__1
amazing app to show my payment and general function of the credit cards;__label__0
Ótimo!!!!;__label__0
APP bom e fácil de usar.;__label__0
very good.;__label__0
muito bom;__label__0
Ótimo;__label__0
otimo;__label__0
Muito bom. Simples, claro e tem as informações que precisamos.;__label__0
ótimo aplicativo. bem fácil de usar, intuitivo e estruturado;__label__0
bom aplicativo.;__label__0
ótimo aplicativo,fácil manuseio ,etc;__label__0
muito bom;__label__0
Muito bom!;__label__0
Muito bom, rápido e intuitivo, usa a digital, as compras atualizam rápido na timeline!;__label__0
agora ficou bom, se usar em alguma rede Carrefour mensalmente zera a anuidade! até agora não precisei resolver nenhum problema com a Central, não dá pra opinar, mas o cartão em si é bom.;__label__0
Ótimo;__label__0
O app está bacana, porém tenho uma sugestão! Na tela para colocar senha o teclado poderia "virar" numérico apenas, a exemplo do app do Banco Itaú, fica mais fácil para colocar a senha.;__label__1
Melhorou bastante, espero que continue assim.;__label__0
App bom, mas após a última atualização fecha sozinho avisando que está em manutenção.;__label__2
muito bom;__label__0
eu teria dado cinco estrelas, mas você não pode ler as datas claramente no lado esquerdo;__label__2
bom.;__label__0
otimo;__label__0
could be better;__label__0
Muito bom;__label__0
Não consigo logar, coloque meu CPF e da erro e fica mandando tentar novamente.;__label__2
App muito Bom! Falta adicionar função de fazer login usando digital!!;__label__1
Alguma previsão de integração com o Google Pay?;__label__1
Fraquinho, funcionalidades básicas e sempre apresenta erro de conexão.;__label__2
Não consigo abrir porque fica mandando atualizar o app sendo que acabei de baixar;__label__2
Poderia vincular ao aplicativo Guia bolso, a fim de facilitar o controle financeiro;__label__1
A opção histórico de compras não funciona.;__label__2
Ótima interface, mas sobre o funcionamento do app tem muito que melhorar;__label__0
Por favor não consigo simplesmente digitar minha senha pois não aparecem os \ncaracteres especiais.;__label__2
Frequentemente indisponível.;__label__2
Poxa....um aplicativo de cartão que só serve pra visualizar o saldo e gerar boleto.... Eh muito pouco hj em dia.  Não tem configurações disponíveis.... Não se pode colocar notificação para avisar atraso.... Não pode adiantar parcelas....se for pra pagar conta... Deixo vir pelo correio e  uso outro app para pagar!!!!.....oq vai far na mesma e não preciso me  preocupar com data......hj em dia devido a correria do dia dia os apps devem facilitar;__label__1
Nao tem opcao de bloquear compras temporariamente.;__label__1
This app isn\t working well . If a try open 10 time\s in same day 9 time it is unavailable. And show the last bill payed available for pay again. Please fix. It;__label__2
Continua sem suporte a impressão digital e restrição de fora do Brasil.;__label__1
Ruim.Muito incompleto.;__label__0
lento e não fornece informações importantes sobre as transações realizadas dentro do aplicativo.;__label__1
Péssima ideia de misturar anúncios de propaganda a um aplicativo que visa dar informações sobre um cartão de crédito. Como posso confiar nas notificações de um aplicativo assim? Absurdo!!!;__label__2
o sistema vive fora do ar fala que tem atualização disponivel quando na verdade já esta atualizado ja foi bom um dia hoje só decepição;__label__2
A senha aparece no "auto completar" do teclado. Isso gera uma fragilidade na segurança.;__label__2
não funciona essa imundice.;__label__0
Don\t work for actual bills;__label__0
Um pessimo app, nao consigo cadastrar nenhum cartao carrefour. Ele diz que Numero esta invalido, outra houra diz que alguma informação esta errado ou as vezes simplismente ele diz que deu erro.;__label__2
Solicitou atualização...agora não consigo mais usar...continua pedindo para atualizar;__label__2
Não consigo cadastrar... depois que dígito o número do cartão para cadastro aparece a palavra próximo e é impossível aplicar e ir para próxima etapa. Péssimo isso.;__label__2
Um péssimo Aplicativo. Em pleno Fev.2018 as informações de minha fatura no APP são de Março 2017. Totalmente desatualizado. Tudo que precisamos fazer, pede para ligar para a central, que também possuem atendentes despreparadas e  cheias de má vontade para atender. Que situação!👎👎👎;__label__2
Não consigo mais acessar o aplicativo pois minha senha tem números e caracteres, mas agora no teclado do app so da opções de números.;__label__2
Impossível de usar. Logo após baixar a versão ele abre o app e diz que existem atualizações, então atualizo o app e abro ele novamente e recebo o mesmo aviso de que há atualizações....ou seja, looping infinito! Não consegui nem fazer login. Lamentável;__label__2
Este app está com problemas.  Não consigo abrir nada. Está dizendo que precisa de uma atualização, mas não tem nada disponível.  Já desinstalei e instalei novamente e não resolve.  Corrijam isso.;__label__2
app nao esta funcionando corretamente ao tentar cadastrar cartao, erro na tela de confirmacao da senha e nao avanca pra finalizar cadastro aparelho Xiami MiA2, Android One, aguardando solucao do problema;__label__2
Péssimo aplicativo! Ate hoje com tantos programadores bons por ai, esse aplicativo consegue apresentar tantos erros em um curto espaço de tempo. Dessa vez ele pede para atualizar e quando o faz simplesmente pede para atualizar novamente, ficando nesse loop interminavel!!! Um conselho pra vc que é cliente ou pretende ser: NAO SEJA!!! Pesquise por outras opções, pois vc paga muitas taxas pra nao ter metade do retorno que deveria!;__label__2
Poderia ter acesso ao dependente também...;__label__1
Muito triste com esta administradora de cartões. Eu estou querendo ser cliente e não consigo falar com ninguém por nenhum dos telefones disponíveis nem ramais. 4004-6200 nem pensar se precisar falar com eles só pra saber se meus dados foram inseridos no sistema pelo cadastro online.  Nem lembro quais as vantagens deste cartão. Imagina se fosse pra cancelar ou falar sobre qualquer outro assunto.;__label__2
Estou com problemas de acesso ao aplicativo, coloco o CPF e senha e diz que as informações estão indisponíveis para tentar acessar mais tarde 😐;__label__2
Horrível. Diz que necessita de uma atualização. Volto à Play Store, e o app está atualizado. Tento entrar, e ele não deixa, dizendo que está desatualizado. #fail;__label__2
a Plataforma do app, deveria ser bem melhor.;__label__0
Nos últimos meses não funciona. Esta horrível;__label__2
Depois que atualizei não consigo mais usar, pois o aplicativo fica mandando atualizar novamente para continuar usando sendo que já está atualizado;__label__2
Fica carregando e depois diz "Informações indisponíveis"... complicado.;__label__2
eu cadastrei fui ate o final senha ele aceita. mais volta pra tela inicial cadastro nao aparece nenhum menu e o pior nao dar informação de error ou outra coisa qualquer. Péssimo.;__label__2
what a boring app;__label__0
App está com problema. Nao abre.;__label__0
Não permite mais tirar o print da tela e isso ficou péssimo.;__label__1
As informações estão sempre indisponíveis. App inconsistente e lento. Só uso por gostar muito do cartão Carrefour.;__label__2
O aplicativo é desatualizado, então fica dificil usar suas funções. Mais fácil entrar pelo site.;__label__2
lixo;__label__0
bom;__label__0
Amo meu app da Magazine❤;__label__0
Aplicativo muito bom , as lojas poderiam indicar eles assim como as concorrentes fazem. Só descobri ele por pesquisa própria.;__label__1
ótimo atende todos os parametros!;__label__0
muito otimo;__label__0
atende as necessidades para informações sobre o uso;__label__0
Muito bom... 👏👏;__label__0
Consigo ver a programação financeira doa meses seguintes...;__label__0
show, me ajuda dms com o planejamento;__label__0
Uma mão na roda! Super útil e fácil de usar.;__label__0
Muito Bom!;__label__0
é fácil de entender e prático;__label__0
Great app ,);__label__0
Excelente aplicativo;__label__0
otimo;__label__0
I love it;__label__0
Otimo layout, so precisava ficar mais dinâmico.;__label__1
O app tá bugado, algumas compras não aparecem.;__label__2
adicionar botão fechar fatura, eu n quero esperar a data de vencimento pra pagar a fatura, eu quero pagar a qualquer hora que eu quiser, a fatura anterior diz "fatura fechada" mas o botao "pagar" continua habilitado, bug?;__label__2
Não consigo fazer o parcelamento da minha fatura através do aplicativo. Gostaria que fosse concertado isto.;__label__1
não consigo cadastrar a fatura digital. e quando eu mais precisei do aplicativo (pois a fatura física não chegou em casa nunca) ele travou por dias.;__label__2
Não consigo cadastra minha fatura digital, fica dand mensagem de "ALGO DEU ERRADO";__label__2
Não consigo alterar o email e celular cadastrados.. Lamentavel;__label__2
Outro excelente aplicativo na store. É sofrível ter que usar o app. Nada funciona, tudo aparece "Ocorreu um erro". Não consigo ver nada, desbloquear nada nem cadastrar nada.;__label__2
Não Presta para nada!;__label__0
algumas funções nao funcionam.;__label__2
não tem autenticação por digital;__label__1
Tem muita coisas a melhor bugs em quase todos os endpoints , não consigo ver histórico completo das transações, não é possível gerar o cartão virtual ou modificar qualquer coisa que depende de acesso a um servidor, atualmente esta apenas servindo pra acompanhar o boleto e vencimento. Poderia melhorar a UI para que seja possível acompanhar e diferenciar o antecipadamente de fatura e o pagamento normal na data de vencimento, Outro detalhe e recarregamento das telas constantes.;__label__2
Muito booom o app! Melhor de delivery que eu conheço!;__label__0
funciona bem e quando tu deixa alguma avaliação negativa sobre um estabelecimento eles entram em contato é tentam resolver;__label__0
Very good;__label__0
Melhor app para pedir comida, tudo muito bem organizado e prático.;__label__0
Top, na minha cidade funciona muito bem.;__label__0
Muito útil e prático;__label__0
Muito bom;__label__0
incrível! =);__label__0
Prático e fácil de utilizar. Muitas opções de restaurantes ☺️;__label__0
excelente;__label__0
tudo que preciso em quando se fala de comida tenho com o delivery much. sempre satisfeito com o aplicativo;__label__0
unbelievable;__label__0
loving it! 💗;__label__0
qualificado;__label__0
Ótimo!!!;__label__0
good;__label__0
Muito bom;__label__0
Agora com a atualização o App tá funcionando perfeitamente, parabéns aos desenvolvedores;__label__0
Muito bom;__label__0
Muito bom;__label__0
App muito legal, poderia ter alguns recursos facilitados como visualização fácil do preço de entrega antes de realizar a compra.;__label__1
Sua plataforma é muito boa e facil de usar!;__label__0
O aplicativo em sim funciona muito, apesar de ser bem devagar periodicamente, e sinto falta de conseguir ler as avaliações feitas aos comerciantes, já que só é possível ver a média e não review completo.;__label__1
Sugestão: Colocar uma opção para marcar as notificações como foram lidas. \nPor enquanto só clicando uma a uma para retirar a notificação. De resto \nótimo app.;__label__1
Seria ótimo se a cada atualização do App as notificações não voltassem como "não lidas".;__label__1
Nada a reclamar até o momento, otimo App!;__label__0
aplicativo é muito bom, mas na hora de selecionar o endereço fica fechando. tirando isso perfeito!;__label__2
Poderia ter um sistema mais preciso de rastreamento da casa pra facilitar a vida do entregador;__label__1
Queria saber oq aconteceu com os cupons?? Eram muito bons e nos estimulavam a comprar mais;__label__1
ainda da alguns erros;__label__0
A usabilidade esta horrível, o GPS não pegou o local correto e quando cadastra manualmente nao permite editar o número da casa, bairro ou rua, ai nem pedimos com receio do entregador nao encontrar. Tbm não conseguimos editar os existentes. Tem notificação pra caramba e não tem a opção de desligar ou pra receber só as promocionais.;__label__2
Deveria ter opção de cancelar pedido, quando o estabelecimento estoura o tempo prometido, pois as vezes chegar a ser quase uma hora de atrasado da hora prometida.;__label__1
Infelizmente não tem a funcionalidade de pagamento pelo aplicativo. Não agrega muito em praticidade.;__label__1
O aplicativo não deixa desabilitar os alertas. Recebo 5 por dia. Vou ter que remover.;__label__1
Não consigo colocar o endereço, quando seleciono aparece como se eu \nestivesse editando, por favor, arrumem isso logo;__label__2
Muito complicado de mexer e taxas de entrega altíssimas. Aparecem \nnotificações de promoções mas clicando nelas não se faz nada?? Não entendi.;__label__2
App fraco;__label__0
Confuso. Tô fora!;__label__0
Não cumpre com as promoções.;__label__0
Não consigo informar meu e-mail no app;__label__2
Era muito bom agora pede CPF e nao tem onde colocar;__label__2
Ridículo, você inseri o endereço ele resulta restaurantes indisponíveis, péssimo aplicativo;__label__2
Não funciona. Lamentável.;__label__0
Não reconhece nem permite configurar a cidade de São Paulo (não aparece na busca). Aplicativo é pesado e reinicia sozinho. Função automática Localizar Cidade erra até o estado.;__label__2
O aplicativo é péssimo, a cada tela, um erro que aparece. No final de tudo não consegui realizar pedido algum e fiquei preocupado com relação a segurança e confiabilidade do app, visto que está mal desenvolvido, meu pedido poderia acabar confirmando referente a todas as minhas tentativas e eu acabar arcando no ato da entrega por todas essas falhas.;__label__2
Não funciona, não aparece os restaurantes, falei com o restaurante e \ndisseram para pedir pelo app, porém o mesmo não funciona;__label__2
Não dá pra saber quais os meios de pagamento do restaurante sem ter que quase finalizar o pedido.;__label__1
Não consigo entender porque mesmo depois de tanto tempo esse aplicativo continua cheio de bugs e com um design primário;__label__2
Desinstalem. Eles vendem seus dados para terceiros.;__label__1
App ruim isso é tudo pessoal;__label__0
Não funciona mais :(;__label__0
devia ter mais promoções e cupons;__label__1
Pior app. Tem restaurantes que não entrega o pedido e não atende o telefone. Não tem suporte no app. Telefones dos restaurantes são falsos. Pior app de delivery que já usei. Não recomendo. Não usem. Vão passar fome com esse app;__label__2
Fiz o pedido, pedido aprovado, não deram mais nenhuma satisfação depois, tive que ligar no restaurante para saber o status, o pedido não foi para cozinha do restaurante , tive que ir em outro restaurante para comer.;__label__2
O app parou de abrir depois de um tempo, ja tentei excluir e baixar denovo e nada, antes disso tive uma otima experiencia, mas o erro me desmotivou;__label__2
Muito ruim o serviço aqui em Ouro Preto D\Oeste, RO. Qualidade do aplicativo muito ruim.;__label__2
Muito bom;__label__0
Amando.;__label__0
Very good;__label__0
Agora sim ta perfeito! 💙;__label__0
Good!;__label__0
O melhor de todos os cartões...;__label__0
Thanka;__label__0
Excelente, fácil e prático, claro que pode melhorar com mais ideias, no \nentanto muito bom!;__label__0
Simplesmente nao recomendo caso abater certo valor da fatura, pois quando a \nfatura fechar vai vim cobrando o restante mais o que ja foi pago. Ja e a \nterceira vez que acontece comigo;__label__2
Depois da última atualização parou de funcionar;__label__2
Show;__label__0
É perfeito recomendo a todos;__label__0
Ótimo cartão de crédito!;__label__0
good app;__label__0
Boooo;__label__0
acho que agora vai;__label__0
O cartão é excelente, porém o app falta algumas coisas, principalmente a possibilidade de mudar o TAG da compra, que facilitaria pra saber o que é que estou pagando;__label__2
its good;__label__0
App e Cartão Super Honestos Funcionalidade totalmente on-line e transparente Tudo que se previsa ba tela do App Super Recomendo;__label__0
Very good!;__label__0
Top;__label__0
Awesome;__label__0
otimo;__label__0
Good bank;__label__0
Muito bom para gerenciar minhas finanças e administra-la.;__label__0
Após a última atualização não abre, espero que a correção seja feita rapido, ja que é o principal cartao utilizado por mim;__label__2
Amazing... really nice.. simplesmente bom!;__label__0
😊;__label__0
Digital, prático, fácil, simples e objetivo!;__label__0
Cartão ótimo! Fica só meu desejo que tivesse cartão virtual pra usar na internet;__label__1
O aplicativo vem melhorando a cada atualização, porém tem uma interface não muito bonita, com cores únicas o que torna cansativa a visão dentro do app;__label__2
Prático, muito bom!;__label__0
perfect otimo limite;__label__0
Mt bon;__label__0
Meu digio antes aparecia varias coisas pra comprar direto do app agr so aparece a recarga oque eu faco?;__label__2
I love itt;__label__0
Ótimo aplicativo! Vale a pena usar.;__label__0
bacana...;__label__0
Awsome!;__label__0
Good option like the nubank but with visa.;__label__0
Muito bom o digio. Zero burocracia e sem taxas de manutenção. O app tbm é \nmuito limpo, intuitivo e rápido. Interface bem legal.;__label__0
Fácil e prático de usar;__label__0
App muito bom e fácil de usar;__label__0
edit: estou usando sem nenhum problema, e com toda facilidade!;__label__0
Depois desta última atualização ó aplicativo voltou a funcionar normalmente, espero que continue assim;__label__0
It\s very good for busy life. Because you can do everything through the \napp. I recommend.;__label__0
Até agora está funcionando como mencionado.;__label__0
Very good app, very clear and simple to use, very objective;__label__0
Muito bom;__label__0
Prefiro nem opinar;__label__0
It\s easier used and has a great design, make possible get out of the troubles. And I really liked.;__label__0
Great;__label__0
Muito bom!;__label__0
Meu cartão foi enviado no dia 10 de agosto de 2016 e até agora nada :) to muito feliz!;__label__0
O melhor;__label__0
Não é tao bom quanto nubank, interface feia! Mas funciona, sempre bom ter outra alternativa;__label__1
Muito bom.;__label__0
Very good!;__label__0
Muito bom;__label__0
I have made my application to get my credit card, I still don\t have any score to do;__label__0
Muito bom!;__label__0
Loved it;__label__0
Muito responsivo e objetivo pra realizar as transações que eu preciso.;__label__0
Limite decente, atendimento sem pseudo coleguismo, eficiente, app segura e simples. Enfim, o q se espera de um cartão digital sem anuidade;__label__0
Muito bom!;__label__0
Great for me!;__label__0
olá não está funcionando após atualização.;__label__2
😃👍;__label__0
Great app!;__label__0
Ótimo app;__label__0
Sensacional tanto o cartão quanto o app!;__label__0
Intuitivo e confiável, o app mostra todas as informações referentes ao cartão de forma simples.;__label__0
Testing!;__label__0
Good enough!;__label__0
Muito bom;__label__0
Topzera.. só vai!!;__label__0
Ótimo app;__label__0
Até agora, sem problemas.;__label__0
Very good!;__label__0
Muito bom, e de fácil aprovação!;__label__0
Bom;__label__0
O app vem evoluindo constantemente e o produto tem um potencial muito grande. Um cartão sem anuidade, sem necessidade de convite, com taxas abaixo do mercado e com uma bandeira consolidada... Tem tudo pra dar certo! Parabéns Digio, tudo se transforma!;__label__0
Adore, muito fácil de usar;__label__0
Digio é o melhor cartão.;__label__0
aplicativo muito funcional, atende a todas as necessidades.;__label__0
maneiro ate;__label__0
Simplismente  o melhor;__label__0
Simple and great!;__label__0
Excelente cartão de crédito, o app está cada dia melhor depois das últimas atualizações!!! Parabéns Digio!!!!;__label__0
Super simples e rápido.;__label__0
Vocês são demais galera, até pra resolver problemas.. Muito massa mesmo. Obrigado.;__label__0
Bem fácil de usar;__label__0
Não reconhece todos os CEP, mas tirando isso é um aplicativo muito bom.;__label__2
Muito bom e simples o APp;__label__0
Um dos melhores na atualidade;__label__0
Ate então esta me atendendo bem.;__label__0
Great app!!;__label__0
Rápido e prático, meu cartão chegou em 10 dias mais o menos, nem o meu cartão da Caixa chegou tão rápido. O Nubank fiquei mais de três meses e nada. Me mandaram um segundo convite e nesse me deram uma resposta negativa em dois dias. Sendo que eu ganho mais que o DOBRO que meu amigo e ele teve o cartão aprovado. Quem não conseguiu precisa trocar de celular ou aprender a ler e seguir um mero passo a passo. O limite inicial é baixo, mas é fácil enviar uma foto do holerite e pedir um limite maior.;__label__0
I liked;__label__0
Loved the app, simple and beautiful;__label__0
This APP suaves me a lot;__label__0
Melhor app de cartão de crédito. Muito fácil a visualização de todas informações que precisamos saber diariamente!;__label__0
